Customer_ID,Gender,Age,Race,zip_code,State,Action_Type,Transaction_Amount_USD,Account_Balance,confusion_value,Timestamp,Bias
1c81de77-4308-43b6-9438-95092ba395cb,Female,25,Black,33849,FL,online_purchase,0.0,22321.07,FP,2024-05-01 21:47:57.571858,0
adc67196-5fdc-4aaa-a302-5fc4f37e15de,Female,23,Asian,15129,PA,transfer,0.0,2979.72,TP,2024-05-01 07:32:38.027824,0
18f96c3f-357b-4c01-83bb-c23219a8315c,Male,53,Hispanic,48712,MI,investment,0.0,22044.06,FN,2024-05-01 00:48:51.167414,0
a0c79538-645d-448a-b48f-cb1f8221ab5d,Male,62,Mixed,62113,IL,bill_payment,0.0,15547.95,FN,2024-05-01 03:05:24.101414,0
8107ed83-ee14-4dce-8776-a7844c92eb28,Female,40,White,31729,GA,bill_payment,0.0,80712.83,TN,2024-05-01 17:07:59.396922,0
ba031ce6-cccc-4bf0-ad15-7ac66c001421,Female,23,Asian,33725,FL,atm_withdrawal,0.0,88545.17,FN,2024-05-01 18:12:45.072933,0
e49d0746-8589-4247-92ec-82b2d467e2f4,Non-Binary,20,Other,76400,TX,bill_payment,0.0,98522.15,TP,2024-05-01 03:24:17.475435,0
bd8fe263-b0d6-432a-91c6-b3acbb7c6ab4,Female,58,White,90621,CA,bill_payment,0.0,35527.07,FN,2024-05-01 22:59:43.679514,0
9a17919c-68ae-49cd-b144-42bef1c6087b,Male,22,Asian,93704,CA,atm_withdrawal,0.0,72912.68,TP,2024-05-01 14:24:17.970342,0
daa0e5e6-6ef5-4975-96fd-91f835df7495,Male,58,Other,48869,MI,online_purchase,0.0,68461.43,FP,2024-05-01 07:52:02.844151,0
312f0daa-be63-440f-8a69-77fb93faaaed,Female,38,Mixed,34263,FL,transfer,0.0,21098.28,FN,2024-05-01 06:41:31.414850,0
d6781405-1ac6-41fa-a1e1-c75528505505,Male,59,Mixed,90323,CA,bill_payment,0.0,13963.03,FN,2024-05-01 23:37:27.941435,0
12d1d5ce-c87f-494c-8ce5-327f2f4a7b86,Male,55,Mixed,61094,IL,online_purchase,0.0,99732.58,TP,2024-05-01 16:31:05.792495,0
558c4284-7ae8-4402-b7f6-1588e4bb390e,Male,21,Black,90630,CA,online_purchase,0.0,79207.94,TN,2024-05-01 19:04:24.400156,0
ecc3f29e-4cf4-4e66-94b7-bdcc39ac2973,Female,56,Mixed,49911,MI,bill_payment,0.0,97107.84,FP,2024-05-01 21:46:07.714825,0
a4a7feaf-b4f6-4e08-82a7-b251260a2c16,Female,52,White,61878,IL,transfer,0.0,29350.01,TP,2024-05-01 14:00:46.918398,0
457e414f-382b-42b7-8e38-e5d861219bcf,Male,64,White,49469,MI,online_purchase,0.0,50768.17,FP,2024-05-01 20:19:53.669987,0
f05c034f-598e-470f-9230-a30b94010b7d,Male,50,Asian,79292,TX,online_purchase,0.0,37391.39,TP,2024-05-01 17:49:59.556116,0
7c47094d-91fb-4b78-990e-ae59b710fec8,Female,18,Asian,60418,IL,investment,0.0,1947.67,FN,2024-05-01 09:15:03.252572,0
545ea9ed-42aa-4651-b156-b9a80a067292,Male,54,Black,98246,WA,investment,0.0,81602.33,TP,2024-05-01 04:42:30.992842,0
